booking_id,meal_plan,car_parking_space,room_type,special_requests
TMD00101,Not Selected,0,Room_Type 1,2
TMD00102,Meal Plan 1,0,Room_Type 4,2
TMD00103,Meal Plan 1,0,Room_Type 1,2
TMD00104,Meal Plan 1,0,Room_Type 1,1
TMD00105,Meal Plan 1,0,Room_Type 1,1
TMD00106,Meal Plan 1,0,Room_Type 1,0
TMD00107,Meal Plan 1,1,Room_Type 1,0
TMD00108,Meal Plan 1,0,Room_Type 4,1
TMD00109,Not Selected,0,Room_Type 1,1
TMD00110,Meal Plan 1,0,Room_Type 1,3
TMD00111,Meal Plan 1,0,Room_Type 1,2
TMD00112,Not Selected,0,Room_Type 1,1
TMD00113,Not Selected,0,Room_Type 1,2
TMD00114,Meal Plan 1,0,Room_Type 1,1
TMD00115,Meal Plan 1,0,Room_Type 2,1
TMD00116,Meal Plan 1,1,Room_Type 4,1
TMD00117,Meal Plan 1,0,Room_Type 4,0
TMD00118,Meal Plan 1,0,Room_Type 1,3
TMD00119,Meal Plan 1,0,Room_Type 1,0
TMD00120,Meal Plan 1,0,Room_Type 1,1
TMD00121,Meal Plan 1,0,Room_Type 1,1
TMD00122,Meal Plan 2,0,Room_Type 1,0
TMD00123,Meal Plan 1,0,Room_Type 1,0
TMD00124,Meal Plan 1,0,Room_Type 1,0
TMD00125,Meal Plan 1,0,Room_Type 4,2
TMD00126,Meal Plan 1,0,Room_Type 1,0
TMD00127,Meal Plan 1,0,Room_Type 1,1
TMD00128,Meal Plan 1,0,Room_Type 6,0
TMD00129,Meal Plan 1,0,Room_Type 1,0
TMD00130,Meal Plan 1,0,Room_Type 4,1
TMD00131,Not Selected,0,Room_Type 1,2
TMD00132,Meal Plan 1,0,Room_Type 1,2
TMD00133,Not Selected,0,Room_Type 1,2
TMD00134,Meal Plan 1,0,Room_Type 4,0
TMD00135,Not Selected,0,Room_Type 1,0
TMD00136,Meal Plan 1,0,Room_Type 4,2
TMD00137,Meal Plan 1,0,Room_Type 1,2
TMD00138,Meal Plan 1,0,Room_Type 1,2
TMD00139,Meal Plan 1,0,Room_Type 1,0
TMD00140,Meal Plan 1,0,Room_Type 4,0
TMD00141,Meal Plan 1,0,Room_Type 1,0
TMD00142,Meal Plan 1,0,Room_Type 1,0
TMD00143,Meal Plan 1,0,Room_Type 1,1
TMD00144,Meal Plan 1,0,Room_Type 1,2
TMD00145,Meal Plan 1,0,Room_Type 1,1
TMD00146,Meal Plan 1,0,Room_Type 1,1
TMD00147,Not Selected,0,Room_Type 1,1
TMD00148,Not Selected,0,Room_Type 1,1
TMD00149,Meal Plan 1,0,Room_Type 1,0
TMD00150,Meal Plan 1,0,Room_Type 4,0
TMD00151,Meal Plan 1,0,Room_Type 1,1
TMD00152,Meal Plan 1,0,Room_Type 4,2
TMD00153,Not Selected,0,Room_Type 1,1
TMD00154,Meal Plan 2,0,Room_Type 1,0
TMD00155,Meal Plan 2,0,Room_Type 1,0
TMD00156,Meal Plan 1,0,Room_Type 1,1
TMD00157,Meal Plan 1,0,Room_Type 4,0
TMD00158,Meal Plan 1,0,Room_Type 1,0
TMD00159,Not Selected,0,Room_Type 1,0
TMD00160,Not Selected,0,Room_Type 1,0
TMD00161,Meal Plan 1,0,Room_Type 1,2
TMD00162,Meal Plan 1,0,Room_Type 4,1
TMD00163,Meal Plan 1,0,Room_Type 7,1
TMD00164,Not Selected,0,Room_Type 1,1
TMD00165,Meal Plan 1,0,Room_Type 1,2
TMD00166,Meal Plan 2,0,Room_Type 1,0
TMD00167,Meal Plan 1,0,Room_Type 4,0
TMD00168,Meal Plan 1,0,Room_Type 1,1
TMD00169,Meal Plan 1,0,Room_Type 1,0
TMD00170,Not Selected,0,Room_Type 1,1
TMD00171,Meal Plan 1,0,Room_Type 1,0
TMD00172,Not Selected,0,Room_Type 1,0
TMD00173,Meal Plan 1,0,Room_Type 1,1
TMD00174,Meal Plan 1,0,Room_Type 1,1
TMD00175,Meal Plan 1,0,Room_Type 1,1
TMD00176,Not Selected,0,Room_Type 1,0
TMD00177,Not Selected,0,Room_Type 1,1
TMD00178,Meal Plan 1,0,Room_Type 1,0
TMD00179,Not Selected,0,Room_Type 1,0
TMD00180,Meal Plan 2,0,Room_Type 1,0
TMD00181,Meal Plan 1,0,Room_Type 1,1
TMD00182,Meal Plan 1,0,Room_Type 1,1
TMD00183,Not Selected,0,Room_Type 1,0
TMD00184,Meal Plan 1,0,Room_Type 4,1
TMD00185,Meal Plan 1,0,Room_Type 1,0
TMD00186,Meal Plan 1,0,Room_Type 4,1
TMD00187,Meal Plan 1,0,Room_Type 1,0
TMD00188,Meal Plan 1,0,Room_Type 4,0
TMD00189,Meal Plan 1,0,Room_Type 1,0
TMD00190,Meal Plan 1,0,Room_Type 4,1
TMD00191,Meal Plan 1,0,Room_Type 1,0
TMD00192,Meal Plan 1,0,Room_Type 1,0
TMD00193,Meal Plan 1,0,Room_Type 1,0
TMD00194,Meal Plan 2,0,Room_Type 1,0
TMD00195,Meal Plan 1,0,Room_Type 4,1
TMD00196,Meal Plan 1,0,Room_Type 1,0
TMD00197,Meal Plan 1,0,Room_Type 1,0
TMD00198,Meal Plan 1,0,Room_Type 1,0
TMD00199,Meal Plan 1,0,Room_Type 1,2
TMD00200,Meal Plan 2,0,Room_Type 1,0
TMD00201,Not Selected,0,Room_Type 1,1
TMD00202,Meal Plan 1,0,Room_Type 1,1
TMD00203,Not Selected,0,Room_Type 1,0
TMD00204,Meal Plan 1,0,Room_Type 1,0
TMD00205,Meal Plan 1,0,Room_Type 1,1
TMD00206,Meal Plan 1,0,Room_Type 1,0
TMD00207,Meal Plan 1,0,Room_Type 1,1
TMD00208,Meal Plan 1,0,Room_Type 1,0
TMD00209,Meal Plan 1,0,Room_Type 1,0
TMD00210,Meal Plan 1,0,Room_Type 1,1
TMD00211,Meal Plan 1,0,Room_Type 1,1
TMD00212,Meal Plan 1,0,Room_Type 1,1
TMD00213,Meal Plan 1,0,Room_Type 1,2
TMD00214,Meal Plan 1,0,Room_Type 1,1
TMD00215,Meal Plan 1,0,Room_Type 1,1
TMD00216,Not Selected,0,Room_Type 1,0
TMD00217,Meal Plan 1,0,Room_Type 1,2
TMD00218,Meal Plan 1,0,Room_Type 4,1
TMD00219,Meal Plan 1,0,Room_Type 1,1
TMD00220,Meal Plan 1,0,Room_Type 1,0
TMD00221,Not Selected,0,Room_Type 1,1
TMD00222,Meal Plan 1,0,Room_Type 1,0
TMD00223,Meal Plan 1,0,Room_Type 1,0
TMD00224,Meal Plan 1,0,Room_Type 1,1
TMD00225,Not Selected,0,Room_Type 1,1
TMD00226,Meal Plan 1,0,Room_Type 1,1
TMD00227,Meal Plan 1,0,Room_Type 6,1
TMD00228,Meal Plan 1,0,Room_Type 6,2
TMD00229,Meal Plan 1,0,Room_Type 1,1
TMD00230,Meal Plan 1,0,Room_Type 1,0
TMD00231,Meal Plan 1,0,Room_Type 4,0
TMD00232,Meal Plan 1,0,Room_Type 1,1
TMD00233,Meal Plan 1,0,Room_Type 1,0
TMD00234,Not Selected,0,Room_Type 1,0
TMD00235,Meal Plan 1,1,Room_Type 1,1
TMD00236,Not Selected,0,Room_Type 1,1
TMD00237,Meal Plan 1,0,Room_Type 5,0
TMD00238,Meal Plan 1,0,Room_Type 1,0
TMD00239,Not Selected,0,Room_Type 1,2
TMD00240,Not Selected,0,Room_Type 1,0
TMD00241,Not Selected,0,Room_Type 1,0
TMD00242,Meal Plan 1,0,Room_Type 1,0
TMD00243,Meal Plan 1,0,Room_Type 1,0
TMD00244,Not Selected,0,Room_Type 1,1
TMD00245,Meal Plan 1,0,Room_Type 1,1
TMD00246,Meal Plan 1,0,Room_Type 1,0
TMD00247,Meal Plan 1,1,Room_Type 1,1
TMD00248,Meal Plan 1,0,Room_Type 4,0
TMD00249,Meal Plan 1,0,Room_Type 1,0
TMD00250,Meal Plan 1,0,Room_Type 1,1
TMD00251,Meal Plan 1,0,Room_Type 4,1
TMD00252,Meal Plan 1,0,Room_Type 1,0
TMD00253,Not Selected,0,Room_Type 1,1
TMD00254,Not Selected,0,Room_Type 1,0
TMD00255,Meal Plan 1,0,Room_Type 4,0
TMD00256,Not Selected,0,Room_Type 1,1
TMD00257,Meal Plan 1,0,Room_Type 1,0
TMD00258,Meal Plan 2,0,Room_Type 1,0
TMD00259,Not Selected,0,Room_Type 1,1
TMD00260,Meal Plan 2,0,Room_Type 4,1
TMD00261,Meal Plan 1,0,Room_Type 4,3
TMD00262,Not Selected,0,Room_Type 1,0
TMD00263,Meal Plan 1,0,Room_Type 4,1
TMD00264,Meal Plan 1,0,Room_Type 1,1
TMD00265,Meal Plan 1,0,Room_Type 1,0
TMD00266,Not Selected,0,Room_Type 1,2
TMD00267,Meal Plan 1,0,Room_Type 1,1
TMD00268,Meal Plan 1,0,Room_Type 1,1
TMD00269,Meal Plan 1,0,Room_Type 1,2
TMD00270,Meal Plan 1,0,Room_Type 1,0
TMD00271,Meal Plan 1,0,Room_Type 1,0
TMD00272,Meal Plan 1,0,Room_Type 1,1
TMD00273,Meal Plan 2,0,Room_Type 1,0
TMD00274,Meal Plan 1,0,Room_Type 4,2
TMD00275,Meal Plan 1,0,Room_Type 1,1
TMD00276,Meal Plan 1,0,Room_Type 4,4
TMD00277,Meal Plan 2,0,Room_Type 1,0
TMD00278,Meal Plan 1,0,Room_Type 1,2
TMD00279,Meal Plan 1,0,Room_Type 1,1
TMD00280,Meal Plan 1,0,Room_Type 4,1
TMD00281,Meal Plan 1,0,Room_Type 4,0
TMD00282,Not Selected,0,Room_Type 1,0
TMD00283,Not Selected,0,Room_Type 1,0
TMD00284,Not Selected,0,Room_Type 1,0
TMD00285,Meal Plan 1,0,Room_Type 1,0
TMD00286,Not Selected,1,Room_Type 1,0
TMD00287,Meal Plan 1,0,Room_Type 6,1
TMD00288,Meal Plan 1,0,Room_Type 1,1
TMD00289,Meal Plan 1,0,Room_Type 2,1
TMD00290,Meal Plan 1,0,Room_Type 1,0
TMD00291,Meal Plan 1,0,Room_Type 1,1
TMD00292,Meal Plan 1,0,Room_Type 1,1
TMD00293,Meal Plan 1,0,Room_Type 1,2
TMD00294,Meal Plan 1,0,Room_Type 1,1
TMD00295,Meal Plan 1,0,Room_Type 1,1
TMD00296,Meal Plan 1,0,Room_Type 1,0
TMD00297,Meal Plan 2,0,Room_Type 1,0
TMD00298,Meal Plan 1,0,Room_Type 1,1
TMD00299,Meal Plan 2,0,Room_Type 1,3
TMD00300,Meal Plan 1,0,Room_Type 1,2
TMD00301,Meal Plan 1,0,Room_Type 1,0
TMD00302,Meal Plan 1,0,Room_Type 1,0
TMD00303,Meal Plan 1,0,Room_Type 1,1
TMD00304,Meal Plan 1,0,Room_Type 4,0
TMD00305,Meal Plan 1,0,Room_Type 1,0
TMD00306,Meal Plan 1,0,Room_Type 4,1
TMD00307,Meal Plan 1,0,Room_Type 1,0
TMD00308,Meal Plan 1,0,Room_Type 4,0
TMD00309,Meal Plan 2,0,Room_Type 1,0
TMD00310,Meal Plan 1,0,Room_Type 1,0
TMD00311,Meal Plan 1,0,Room_Type 1,1
TMD00312,Meal Plan 1,0,Room_Type 6,2
TMD00313,Meal Plan 1,0,Room_Type 1,0
TMD00314,Meal Plan 1,0,Room_Type 1,0
TMD00315,Meal Plan 1,0,Room_Type 1,0
TMD00316,Meal Plan 1,0,Room_Type 4,0
TMD00317,Meal Plan 2,0,Room_Type 1,0
TMD00318,Meal Plan 2,0,Room_Type 1,1
TMD00319,Meal Plan 1,0,Room_Type 4,1
TMD00320,Meal Plan 2,0,Room_Type 1,1
TMD00321,Meal Plan 1,0,Room_Type 4,2
TMD00322,Meal Plan 1,0,Room_Type 1,0
TMD00323,Meal Plan 1,0,Room_Type 1,0
TMD00324,Meal Plan 1,0,Room_Type 1,0
TMD00325,Meal Plan 1,0,Room_Type 1,0
TMD00326,Not Selected,0,Room_Type 1,1
TMD00327,Meal Plan 1,0,Room_Type 4,0
TMD00328,Meal Plan 1,0,Room_Type 1,0
TMD00329,Meal Plan 1,0,Room_Type 1,0
TMD00330,Meal Plan 1,0,Room_Type 4,1
TMD00331,Meal Plan 1,0,Room_Type 1,0
TMD00332,Meal Plan 2,0,Room_Type 1,0
TMD00333,Meal Plan 2,0,Room_Type 1,0
TMD00334,Meal Plan 1,0,Room_Type 1,0
TMD00335,Meal Plan 1,0,Room_Type 4,1
TMD00336,Meal Plan 1,0,Room_Type 1,0
TMD00337,Meal Plan 1,0,Room_Type 1,0
TMD00338,Not Selected,0,Room_Type 1,1
TMD00339,Meal Plan 1,0,Room_Type 4,0
TMD00340,Meal Plan 1,0,Room_Type 4,1
TMD00341,Meal Plan 1,0,Room_Type 1,0
TMD00342,Meal Plan 1,0,Room_Type 1,3
TMD00343,Meal Plan 1,0,Room_Type 1,0
TMD00344,Meal Plan 1,0,Room_Type 1,0
TMD00345,Meal Plan 1,0,Room_Type 4,0
TMD00346,Not Selected,0,Room_Type 1,3
TMD00347,Meal Plan 1,0,Room_Type 1,4
TMD00348,Meal Plan 2,0,Room_Type 1,0
TMD00349,Meal Plan 1,0,Room_Type 1,1
TMD00350,Meal Plan 1,0,Room_Type 4,1
TMD00351,Meal Plan 1,0,Room_Type 1,0
TMD00352,Meal Plan 1,1,Room_Type 4,1
TMD00353,Meal Plan 1,0,Room_Type 1,0
TMD00354,Meal Plan 1,0,Room_Type 1,1
TMD00355,Meal Plan 1,0,Room_Type 4,1
TMD00356,Meal Plan 1,0,Room_Type 6,1
TMD00357,Meal Plan 1,0,Room_Type 1,0
TMD00358,Meal Plan 1,0,Room_Type 1,0
TMD00359,Meal Plan 1,0,Room_Type 1,1
TMD00360,Meal Plan 1,0,Room_Type 1,0
TMD00361,Meal Plan 1,0,Room_Type 4,3
TMD00362,Meal Plan 1,0,Room_Type 1,2
TMD00363,Meal Plan 1,0,Room_Type 1,1
TMD00364,Meal Plan 1,0,Room_Type 4,1
TMD00365,Meal Plan 1,0,Room_Type 4,2
TMD00366,Meal Plan 1,0,Room_Type 1,1
TMD00367,Meal Plan 2,0,Room_Type 1,0
TMD00368,Meal Plan 1,0,Room_Type 1,1
TMD00369,Meal Plan 2,0,Room_Type 1,2
TMD00370,Meal Plan 2,0,Room_Type 1,1
TMD00371,Meal Plan 1,0,Room_Type 6,0
TMD00372,Meal Plan 1,0,Room_Type 4,0
TMD00373,Meal Plan 1,0,Room_Type 7,1
TMD00374,Meal Plan 1,0,Room_Type 1,0
TMD00375,Meal Plan 1,0,Room_Type 1,1
TMD00376,Meal Plan 1,0,Room_Type 1,1
TMD00377,Meal Plan 1,0,Room_Type 4,0
TMD00378,Meal Plan 1,0,Room_Type 1,0
TMD00379,Not Selected,0,Room_Type 1,0
TMD00380,Meal Plan 1,0,Room_Type 1,0
TMD00381,Meal Plan 1,0,Room_Type 4,1
TMD00382,Meal Plan 1,0,Room_Type 1,2
TMD00383,Meal Plan 1,0,Room_Type 6,0
TMD00384,Not Selected,0,Room_Type 1,0
TMD00385,Meal Plan 1,0,Room_Type 1,0
TMD00386,Meal Plan 2,0,Room_Type 1,0
TMD00387,Meal Plan 1,0,Room_Type 4,1
TMD00388,Meal Plan 1,0,Room_Type 4,1
TMD00389,Meal Plan 1,0,Room_Type 6,0
TMD00390,Meal Plan 1,0,Room_Type 1,0
TMD00391,Meal Plan 1,0,Room_Type 1,0
TMD00392,Meal Plan 1,0,Room_Type 1,0
TMD00393,Meal Plan 1,1,Room_Type 1,0
TMD00394,Meal Plan 1,0,Room_Type 1,1
TMD00395,Not Selected,0,Room_Type 1,0
TMD00396,Meal Plan 1,0,Room_Type 1,1
TMD00397,Meal Plan 1,0,Room_Type 1,1
TMD00398,Meal Plan 2,0,Room_Type 1,0
TMD00399,Meal Plan 1,0,Room_Type 1,0
TMD00400,Not Selected,0,Room_Type 1,0
TMD00401,Meal Plan 1,0,Room_Type 1,0
TMD00402,Meal Plan 1,0,Room_Type 1,2
TMD00403,Meal Plan 1,0,Room_Type 1,0
TMD00404,Meal Plan 1,0,Room_Type 2,2
TMD00405,Not Selected,0,Room_Type 1,0
TMD00406,Meal Plan 1,0,Room_Type 1,1
TMD00407,Meal Plan 1,0,Room_Type 1,1
TMD00408,Meal Plan 1,0,Room_Type 6,2
TMD00409,Meal Plan 1,0,Room_Type 4,0
TMD00410,Meal Plan 1,0,Room_Type 1,0
TMD00411,Meal Plan 1,0,Room_Type 1,1
TMD00412,Meal Plan 1,0,Room_Type 1,2
TMD00413,Not Selected,0,Room_Type 1,0
TMD00414,Meal Plan 1,0,Room_Type 4,0
TMD00415,Meal Plan 1,0,Room_Type 1,0
TMD00416,Meal Plan 1,0,Room_Type 1,0
TMD00417,Meal Plan 1,0,Room_Type 4,0
TMD00418,Meal Plan 1,0,Room_Type 1,1
TMD00419,Meal Plan 2,0,Room_Type 1,1
TMD00420,Meal Plan 1,0,Room_Type 1,1
TMD00421,Not Selected,0,Room_Type 1,2
TMD00422,Meal Plan 1,0,Room_Type 1,0
TMD00423,Meal Plan 1,0,Room_Type 1,2
TMD00424,Meal Plan 1,0,Room_Type 1,0
TMD00425,Meal Plan 1,0,Room_Type 4,0
TMD00426,Meal Plan 1,0,Room_Type 1,0
TMD00427,Not Selected,0,Room_Type 1,1
TMD00428,Meal Plan 1,0,Room_Type 1,0
TMD00429,Meal Plan 2,1,Room_Type 4,1
TMD00430,Meal Plan 1,0,Room_Type 1,1
TMD00431,Meal Plan 2,0,Room_Type 1,0
TMD00432,Meal Plan 1,0,Room_Type 1,0
TMD00433,Meal Plan 1,0,Room_Type 4,1
TMD00434,Meal Plan 1,0,Room_Type 1,1
TMD00435,Meal Plan 1,0,Room_Type 1,1
TMD00436,Meal Plan 2,0,Room_Type 1,0
TMD00437,Meal Plan 1,0,Room_Type 1,0
TMD00438,Meal Plan 1,0,Room_Type 1,0
TMD00439,Meal Plan 2,0,Room_Type 4,2
TMD00440,Not Selected,0,Room_Type 1,1
TMD00441,Meal Plan 1,0,Room_Type 1,0
TMD00442,Meal Plan 1,0,Room_Type 1,1
TMD00443,Meal Plan 1,0,Room_Type 1,2
TMD00444,Meal Plan 1,0,Room_Type 1,1
TMD00445,Meal Plan 1,0,Room_Type 1,0
TMD00446,Meal Plan 1,1,Room_Type 1,1
TMD00447,Meal Plan 1,0,Room_Type 4,1
TMD00448,Meal Plan 1,0,Room_Type 1,0
TMD00449,Meal Plan 1,0,Room_Type 4,0
TMD00450,Meal Plan 2,0,Room_Type 1,1
TMD00451,Not Selected,0,Room_Type 1,1
TMD00452,Meal Plan 1,0,Room_Type 1,0
TMD00453,Meal Plan 1,0,Room_Type 1,2
TMD00454,Meal Plan 1,0,Room_Type 1,0
TMD00455,Meal Plan 1,0,Room_Type 1,1
TMD00456,Meal Plan 1,0,Room_Type 1,1
TMD00457,Meal Plan 1,0,Room_Type 1,1
TMD00458,Not Selected,0,Room_Type 1,0
TMD00459,Meal Plan 2,0,Room_Type 1,0
TMD00460,Not Selected,0,Room_Type 1,0
TMD00461,Meal Plan 1,0,Room_Type 1,0
TMD00462,Meal Plan 1,0,Room_Type 4,2
TMD00463,Meal Plan 1,0,Room_Type 1,0
TMD00464,Meal Plan 1,0,Room_Type 1,0
TMD00465,Meal Plan 2,1,Room_Type 1,2
TMD00466,Meal Plan 2,0,Room_Type 1,0
TMD00467,Meal Plan 2,1,Room_Type 1,0
TMD00468,Not Selected,1,Room_Type 1,2
TMD00469,Meal Plan 1,1,Room_Type 1,2
TMD00470,Meal Plan 1,0,Room_Type 1,0
TMD00471,Meal Plan 2,0,Room_Type 1,0
TMD00472,Meal Plan 1,0,Room_Type 1,1
TMD00473,Meal Plan 1,0,Room_Type 1,1
TMD00474,Meal Plan 1,0,Room_Type 1,0
TMD00475,Not Selected,0,Room_Type 1,0
TMD00476,Meal Plan 1,0,Room_Type 7,0
TMD00477,Meal Plan 1,1,Room_Type 1,2
TMD00478,Not Selected,0,Room_Type 1,1
TMD00479,Meal Plan 1,0,Room_Type 1,0
TMD00480,Not Selected,0,Room_Type 1,2
TMD00481,Meal Plan 1,0,Room_Type 1,0
TMD00482,Meal Plan 1,0,Room_Type 4,1
TMD00483,Meal Plan 1,0,Room_Type 1,0
TMD00484,Meal Plan 1,0,Room_Type 6,2
TMD00485,Meal Plan 1,0,Room_Type 1,1
TMD00486,Not Selected,0,Room_Type 1,0
TMD00487,Meal Plan 1,0,Room_Type 1,1
TMD00488,Meal Plan 1,0,Room_Type 2,0
TMD00489,Meal Plan 1,0,Room_Type 1,0
TMD00490,Not Selected,0,Room_Type 1,1
TMD00491,Meal Plan 1,0,Room_Type 1,0
TMD00492,Meal Plan 1,0,Room_Type 1,0
TMD00493,Meal Plan 1,0,Room_Type 1,0
TMD00494,Meal Plan 1,0,Room_Type 4,0
TMD00495,Not Selected,0,Room_Type 1,2
TMD00496,Meal Plan 1,0,Room_Type 1,0
TMD00497,Meal Plan 1,0,Room_Type 1,0
TMD00498,Meal Plan 1,0,Room_Type 1,1
TMD00499,Meal Plan 2,0,Room_Type 1,0
TMD00500,Meal Plan 1,0,Room_Type 4,1
TMD00501,Meal Plan 1,0,Room_Type 2,0
TMD00502,Meal Plan 2,0,Room_Type 4,1
TMD00503,Meal Plan 1,0,Room_Type 1,0
TMD00504,Meal Plan 1,0,Room_Type 1,0
TMD00505,Meal Plan 1,0,Room_Type 1,0
TMD00506,Meal Plan 1,0,Room_Type 4,2
TMD00507,Meal Plan 1,0,Room_Type 4,1
TMD00508,Meal Plan 1,0,Room_Type 1,1
TMD00509,Meal Plan 1,0,Room_Type 1,2
TMD00510,Meal Plan 1,0,Room_Type 4,0
TMD00511,Meal Plan 1,0,Room_Type 1,0
TMD00512,Not Selected,0,Room_Type 1,2
TMD00513,Meal Plan 1,0,Room_Type 1,1
TMD00514,Meal Plan 1,0,Room_Type 4,2
TMD00515,Meal Plan 2,0,Room_Type 1,0
TMD00516,Meal Plan 1,0,Room_Type 1,0
TMD00517,Meal Plan 1,0,Room_Type 4,1
TMD00518,Meal Plan 1,0,Room_Type 1,0
TMD00519,Not Selected,0,Room_Type 1,0
TMD00520,Meal Plan 1,0,Room_Type 1,1
TMD00521,Meal Plan 1,0,Room_Type 4,1
TMD00522,Meal Plan 1,0,Room_Type 4,0
TMD00523,Meal Plan 1,0,Room_Type 4,1
TMD00524,Meal Plan 1,0,Room_Type 1,0
TMD00525,Meal Plan 1,0,Room_Type 1,1
