booking_id,customer_id,full_date,year,month,date,weekend_nights,week_nights,duration,avg_euros_per_night
TMD00122,INN00122,2018-09-16,2018,9,16,0,2,2,58.5
TMD00123,INN00123,2018-03-10,2018,3,10,1,3,4,73.95
TMD00124,INN00124,2018-05-05,2018,5,5,0,3,3,105.3
TMD00125,INN00125,2018-04-24,2018,4,24,2,0,2,133.2
TMD00126,INN00126,2018-03-30,2018,3,30,0,2,2,85.5
TMD00127,INN00127,2018-11-03,2018,11,3,0,1,1,112
TMD00128,INN00128,2018-10-14,2018,10,14,0,2,2,190.8
TMD00129,INN00129,2018-06-05,2018,6,5,2,3,5,110
TMD00130,INN00130,2018-07-13,2018,7,13,1,4,5,91.48
TMD00131,INN00131,2018-10-20,2018,10,20,0,2,2,135
TMD00132,INN00132,2018-10-17,2018,10,17,1,2,3,129
TMD00133,INN00133,2018-12-28,2018,12,28,2,4,6,70.55
TMD00134,INN00134,2017-10-19,2017,10,19,1,4,5,75
TMD00135,INN00135,2018-03-29,2018,3,29,0,4,4,72.25
TMD00136,INN00136,2017-10-09,2017,10,9,0,1,1,155
TMD00137,INN00137,2018-07-25,2018,7,25,1,0,1,121.5
TMD00138,INN00138,2018-06-28,2018,6,28,2,5,7,90.95
TMD00139,INN00139,2018-05-22,2018,5,22,2,2,4,109.65
TMD00140,INN00140,2018-04-15,2018,4,15,2,4,6,142.72
TMD00141,INN00141,2018-05-09,2018,5,9,1,2,3,90
TMD00142,INN00142,2018-06-17,2018,6,17,0,2,2,75
TMD00143,INN00143,2018-11-18,2018,11,18,0,2,2,111
TMD00144,INN00144,2018-10-30,2018,10,30,2,2,4,86.7
TMD00145,INN00145,2018-03-28,2018,3,28,1,0,1,117.9
TMD00146,INN00146,2018-06-01,2018,6,1,0,2,2,0
TMD00147,INN00147,2018-05-04,2018,5,4,0,4,4,101.58
TMD00148,INN00148,2018-04-08,2018,4,8,1,2,3,58.9
TMD00149,INN00149,2018-06-08,2018,6,8,0,1,1,120
TMD00150,INN00150,2018-04-07,2018,4,7,2,3,5,107.1
TMD00151,INN00151,2018-05-02,2018,5,2,1,1,2,126.9
TMD00152,INN00152,2018-09-29,2018,9,29,0,3,3,139.5
TMD00153,INN00153,2018-04-04,2018,4,4,1,3,4,80.75
TMD00154,INN00154,2017-07-17,2017,7,17,0,2,2,109
TMD00155,INN00155,2018-04-06,2018,4,6,0,1,1,104
TMD00156,INN00156,2018-11-01,2018,11,1,0,3,3,65
TMD00157,INN00157,2018-05-24,2018,5,24,0,3,3,140.4
TMD00158,INN00158,2018-02-17,2018,2,17,0,3,3,75
TMD00159,INN00159,2018-04-14,2018,4,14,0,1,1,94.5
TMD00160,INN00160,2018-06-05,2018,6,5,1,0,1,109
TMD00161,INN00161,2018-11-12,2018,11,12,2,2,4,105
TMD00162,INN00162,2018-04-17,2018,4,17,2,2,4,107.95
TMD00163,INN00163,2018-10-07,2018,10,7,2,2,4,215.6
TMD00164,INN00164,2018-08-01,2018,8,1,1,1,2,85.5
TMD00165,INN00165,2018-07-12,2018,7,12,0,2,2,105.3
TMD00166,INN00166,2018-01-02,2018,1,2,2,1,3,1
TMD00167,INN00167,2018-06-15,2018,6,15,0,2,2,156
TMD00168,INN00168,2018-11-16,2018,11,16,0,2,2,73.15
TMD00169,INN00169,2018-09-19,2018,9,19,1,2,3,110
TMD00170,INN00170,2017-09-13,2017,9,13,1,0,1,87.4
TMD00171,INN00171,2018-09-15,2018,9,15,0,2,2,120
TMD00172,INN00172,2018-12-16,2018,12,16,1,2,3,79.2
TMD00173,INN00173,2018-06-30,2018,6,30,1,3,4,90.95
TMD00174,INN00174,2018-10-18,2018,10,18,0,4,4,91.48
TMD00175,INN00175,2018-11-05,2018,11,5,0,1,1,150
TMD00176,INN00176,2018-03-22,2018,3,22,0,1,1,89
TMD00177,INN00177,2018-08-17,2018,8,17,1,4,5,91.43
TMD00178,INN00178,2018-05-20,2018,5,20,0,2,2,140
TMD00179,INN00179,2017-10-24,2017,10,24,2,5,7,87.78
TMD00180,INN00180,2018-07-21,2018,7,21,0,2,2,115
TMD00181,INN00181,2017-09-09,2017,9,9,0,3,3,80.85
TMD00182,INN00182,2018-03-31,2018,3,31,1,3,4,82.45
TMD00183,INN00183,2018-10-11,2018,10,11,0,1,1,108
TMD00184,INN00184,2018-04-02,2018,4,2,1,1,2,96.3
TMD00185,INN00185,2018-08-22,2018,8,22,1,5,6,99.45
TMD00186,INN00186,2018-05-13,2018,5,13,0,2,2,140.4
TMD00187,INN00187,2018-08-08,2018,8,8,1,3,4,72.25
TMD00188,INN00188,2018-08-15,2018,8,15,1,4,5,126
TMD00189,INN00189,2018-08-19,2018,8,19,2,3,5,78
TMD00190,INN00190,2018-11-06,2018,11,6,2,2,4,146.6
TMD00191,INN00191,2018-10-10,2018,10,10,1,2,3,118.8
TMD00192,INN00192,2018-10-06,2018,10,6,0,1,1,145
TMD00193,INN00193,2018-04-06,2018,4,6,0,4,4,84.58
TMD00194,INN00194,2018-03-25,2018,3,25,1,2,3,130
TMD00195,INN00195,2018-08-03,2018,8,3,4,10,14,118.88
TMD00196,INN00196,2018-05-30,2018,5,30,1,2,3,101.52
TMD00197,INN00197,2017-09-11,2017,9,11,0,1,1,100
TMD00198,INN00198,2018-03-20,2018,3,20,2,1,3,58
TMD00199,INN00199,2018-03-23,2018,3,23,0,4,4,61.5
TMD00200,INN00200,2018-09-26,2018,9,26,1,2,3,107
TMD00201,INN00201,2018-08-24,2018,8,24,1,4,5,87.3
TMD00202,INN00202,2017-07-16,2017,7,16,0,2,2,76.5
TMD00203,INN00203,2018-12-16,2018,12,16,2,2,4,63.75
TMD00204,INN00204,2018-05-13,2018,5,13,1,2,3,95
TMD00205,INN00205,2018-11-19,2018,11,19,2,1,3,75
TMD00206,INN00206,2018-09-08,2018,9,8,0,3,3,70
TMD00207,INN00207,2018-05-02,2018,5,2,1,3,4,101.58
TMD00208,INN00208,2018-08-21,2018,8,21,2,3,5,85
TMD00209,INN00209,2018-12-03,2018,12,3,2,4,6,98.39
TMD00210,INN00210,2018-02-27,2018,2,27,0,0,0,0
TMD00211,INN00211,2017-09-22,2017,9,22,0,3,3,106.07
TMD00212,INN00212,2018-07-18,2018,7,18,1,1,2,105
TMD00213,INN00213,2017-09-22,2017,9,22,0,1,1,145
TMD00214,INN00214,2018-08-13,2018,8,13,2,1,3,106.03
TMD00215,INN00215,2018-08-13,2018,8,13,2,2,4,114.3
TMD00216,INN00216,2018-12-05,2018,12,5,1,1,2,88
TMD00217,INN00217,2017-10-15,2017,10,15,0,2,2,89.25
TMD00218,INN00218,2018-03-20,2018,3,20,2,5,7,86.32
TMD00219,INN00219,2018-10-13,2018,10,13,0,3,3,90
TMD00220,INN00220,2017-08-22,2017,8,22,2,5,7,55.96
TMD00221,INN00221,2018-06-08,2018,6,8,0,2,2,109
TMD00222,INN00222,2018-03-01,2018,3,1,0,1,1,86
TMD00223,INN00223,2018-09-05,2018,9,5,1,5,6,118.95
TMD00224,INN00224,2018-06-10,2018,6,10,0,2,2,130
TMD00225,INN00225,2018-04-14,2018,4,14,1,3,4,90.56
TMD00226,INN00226,2018-04-01,2018,4,1,0,2,2,87.3
TMD00227,INN00227,2018-05-27,2018,5,27,2,2,4,177.65
TMD00228,INN00228,2017-09-19,2017,9,19,2,2,4,200.75
TMD00229,INN00229,2018-03-18,2018,3,18,0,2,2,127
TMD00230,INN00230,2018-02-05,2018,2,5,1,2,3,72.9
TMD00231,INN00231,2018-05-07,2018,5,7,1,1,2,159.3
TMD00232,INN00232,2018-05-12,2018,5,12,1,3,4,135.15
TMD00233,INN00233,2018-10-28,2018,10,28,0,2,2,90
TMD00234,INN00234,2017-10-18,2017,10,18,1,0,1,114
TMD00235,INN00235,2018-06-21,2018,6,21,0,1,1,125.1
TMD00236,INN00236,2017-08-14,2017,8,14,2,6,8,95.13
TMD00237,INN00237,2018-04-29,2018,4,29,0,2,2,105.84
TMD00238,INN00238,2018-12-26,2018,12,26,1,3,4,102
TMD00239,INN00239,2018-12-02,2018,12,2,2,2,4,74.8
TMD00240,INN00240,2018-04-24,2018,4,24,1,0,1,94.5
TMD00241,INN00241,2018-06-16,2018,6,16,2,4,6,120.6
TMD00242,INN00242,2017-10-09,2017,10,9,1,2,3,139.33
TMD00243,INN00243,2017-09-03,2017,9,3,0,2,2,105
TMD00244,INN00244,2018-09-14,2018,9,14,0,2,2,100
TMD00245,INN00245,2018-02-08,2018,2,8,1,0,1,80.3
TMD00246,INN00246,2017-10-02,2017,10,2,0,2,2,100
TMD00247,INN00247,2018-03-24,2018,3,24,0,3,3,105.3
TMD00248,INN00248,2018-05-31,2018,5,31,0,4,4,112.8
TMD00249,INN00249,2018-08-15,2018,8,15,1,2,3,151
TMD00250,INN00250,2017-11-09,2017,11,9,1,3,4,91
TMD00251,INN00251,2018-08-13,2018,8,13,2,1,3,146.7
TMD00252,INN00252,2017-10-02,2017,10,2,2,3,5,58.4
TMD00253,INN00253,2018-07-26,2018,7,26,0,4,4,80.75
TMD00254,INN00254,2018-05-21,2018,5,21,1,1,2,76.5
TMD00255,INN00255,2018-09-07,2018,9,7,0,3,3,140.13
TMD00256,INN00256,2017-11-15,2017,11,15,2,4,6,76
TMD00257,INN00257,2017-09-16,2017,9,16,0,1,1,200
TMD00258,INN00258,2017-10-16,2017,10,16,0,2,2,101.5
TMD00259,INN00259,2018-10-18,2018,10,18,0,3,3,108
TMD00260,INN00260,2018-07-23,2018,7,23,2,3,5,189
TMD00261,INN00261,2018-06-11,2018,6,11,1,1,2,166
TMD00262,INN00262,2018-01-16,2018,1,16,1,1,2,67.5
TMD00263,INN00263,2017-09-14,2017,9,14,1,3,4,78.54
TMD00264,INN00264,2018-11-06,2018,11,6,2,2,4,152.1
TMD00265,INN00265,2018-10-15,2018,10,15,2,1,3,115
TMD00266,INN00266,2017-09-02,2017,9,2,2,5,7,66.53
TMD00267,INN00267,2017-08-12,2017,8,12,0,2,2,0
TMD00268,INN00268,2017-08-23,2017,8,23,2,1,3,0
TMD00269,INN00269,2018-12-29,2018,12,29,0,3,3,90.3
TMD00270,INN00270,2018-04-15,2018,4,15,0,2,2,85
TMD00271,INN00271,2018-03-11,2018,3,11,0,1,1,75
TMD00272,INN00272,2018-08-28,2018,8,28,2,4,6,115.37
TMD00273,INN00273,2018-03-25,2018,3,25,1,2,3,130
TMD00274,INN00274,2018-12-09,2018,12,9,0,2,2,126
TMD00275,INN00275,2018-06-12,2018,6,12,1,0,1,94.35
TMD00276,INN00276,2018-07-06,2018,7,6,2,4,6,118.46
TMD00277,INN00277,2018-06-15,2018,6,15,0,2,2,90.6
TMD00278,INN00278,2018-03-05,2018,3,5,2,1,3,82.9
TMD00279,INN00279,2017-08-18,2017,8,18,0,3,3,95.33
TMD00280,INN00280,2018-04-21,2018,4,21,2,5,7,135.64
TMD00281,INN00281,2018-06-18,2018,6,18,1,1,2,122.4
TMD00282,INN00282,2018-05-09,2018,5,9,1,3,4,116.1
TMD00283,INN00283,2018-06-28,2018,6,28,0,4,4,62.18
TMD00284,INN00284,2018-03-09,2018,3,9,0,4,4,63.75
TMD00285,INN00285,2018-09-07,2018,9,7,1,4,5,118.8
TMD00286,INN00286,2018-08-10,2018,8,10,0,2,2,167
TMD00287,INN00287,2018-05-13,2018,5,13,2,2,4,187.85
TMD00288,INN00288,2018-04-24,2018,4,24,2,2,4,108.38
TMD00289,INN00289,2018-09-07,2018,9,7,0,1,1,0
TMD00290,INN00290,2018-10-28,2018,10,28,1,2,3,128.7
TMD00291,INN00291,2018-03-17,2018,3,17,1,3,4,80.33
TMD00292,INN00292,2018-08-22,2018,8,22,1,1,2,140
TMD00293,INN00293,2017-08-08,2017,8,8,1,1,2,76.5
TMD00294,INN00294,2018-05-01,2018,5,1,2,1,3,105.3
TMD00295,INN00295,2018-04-03,2018,4,3,2,1,3,87.3
TMD00296,INN00296,2018-11-01,2018,11,1,0,3,3,110
TMD00297,INN00297,2017-09-04,2017,9,4,0,1,1,83
TMD00298,INN00298,2018-08-13,2018,8,13,2,2,4,99.45
TMD00299,INN00299,2017-12-27,2017,12,27,2,1,3,104.5
TMD00300,INN00300,2018-11-16,2018,11,16,2,6,8,92.54
TMD00301,INN00301,2018-10-13,2018,10,13,0,3,3,95
TMD00302,INN00302,2018-06-15,2018,6,15,0,2,2,130
TMD00303,INN00303,2018-01-02,2018,1,2,2,1,3,63
TMD00304,INN00304,2018-10-28,2018,10,28,1,2,3,109.8
TMD00305,INN00305,2018-05-16,2018,5,16,1,0,1,103
TMD00306,INN00306,2018-02-20,2018,2,20,2,1,3,130
TMD00307,INN00307,2018-03-23,2018,3,23,0,2,2,117
TMD00308,INN00308,2017-12-29,2017,12,29,0,4,4,60.5
TMD00309,INN00309,2017-09-30,2017,9,30,0,1,1,112.2
TMD00310,INN00310,2018-08-01,2018,8,1,1,3,4,135.9
TMD00311,INN00311,2018-07-25,2018,7,25,1,0,1,151
TMD00312,INN00312,2018-09-16,2018,9,16,0,2,2,239
TMD00313,INN00313,2017-12-26,2017,12,26,2,1,3,59.09
TMD00314,INN00314,2018-07-09,2018,7,9,2,5,7,103.09
TMD00315,INN00315,2018-02-28,2018,2,28,2,1,3,87
TMD00316,INN00316,2018-04-17,2018,4,17,1,0,1,137
TMD00317,INN00317,2018-06-24,2018,6,24,0,2,2,109
TMD00318,INN00318,2018-06-06,2018,6,6,1,1,2,115
TMD00319,INN00319,2018-07-17,2018,7,17,2,3,5,99.45
TMD00320,INN00320,2018-08-18,2018,8,18,0,2,2,115
TMD00321,INN00321,2018-02-22,2018,2,22,1,2,3,130
TMD00322,INN00322,2018-05-22,2018,5,22,1,0,1,65
TMD00323,INN00323,2018-06-17,2018,6,17,0,2,2,75
TMD00324,INN00324,2018-07-08,2018,7,8,1,2,3,132.9
TMD00325,INN00325,2017-10-18,2017,10,18,2,0,2,120
TMD00326,INN00326,2018-11-11,2018,11,11,0,2,2,79.2
TMD00327,INN00327,2018-08-28,2018,8,28,2,1,3,159.3
TMD00328,INN00328,2018-06-15,2018,6,15,0,2,2,130
TMD00329,INN00329,2017-10-06,2017,10,6,0,3,3,90
TMD00330,INN00330,2018-05-27,2018,5,27,0,2,2,140.4
TMD00331,INN00331,2017-08-11,2017,8,11,0,1,1,75
TMD00332,INN00332,2017-07-17,2017,7,17,0,2,2,109
TMD00333,INN00333,2017-07-25,2017,7,25,2,1,3,94.5
TMD00334,INN00334,2017-12-15,2017,12,15,0,1,1,75
TMD00335,INN00335,2017-10-23,2017,10,23,1,2,3,75
TMD00336,INN00336,2017-10-10,2017,10,10,2,1,3,76.67
TMD00337,INN00337,2018-10-02,2018,10,2,2,2,4,126
TMD00338,INN00338,2018-07-23,2018,7,23,1,1,2,85.5
TMD00339,INN00339,2018-08-18,2018,8,18,0,3,3,140.7
TMD00340,INN00340,2018-06-26,2018,6,26,2,2,4,103.7
TMD00341,INN00341,2017-09-08,2017,9,8,0,1,1,142
TMD00342,INN00342,2018-12-21,2018,12,21,2,5,7,103.7
TMD00343,INN00343,2018-06-06,2018,6,6,1,2,3,110
TMD00344,INN00344,2018-11-10,2018,11,10,0,3,3,75
TMD00345,INN00345,2018-07-25,2018,7,25,1,1,2,137.7
TMD00346,INN00346,2018-09-07,2018,9,7,0,1,1,87.3
TMD00347,INN00347,2018-08-24,2018,8,24,0,2,2,0
TMD00348,INN00348,2017-08-14,2017,8,14,0,2,2,101.5
TMD00349,INN00349,2018-02-24,2018,2,24,0,1,1,97
TMD00350,INN00350,2018-08-15,2018,8,15,1,1,2,150.3
TMD00351,INN00351,2018-03-29,2018,3,29,0,4,4,82.45
TMD00352,INN00352,2018-07-01,2018,7,1,0,1,1,103
TMD00353,INN00353,2018-07-05,2018,7,5,2,6,8,145
TMD00354,INN00354,2018-07-11,2018,7,11,1,1,2,145
TMD00355,INN00355,2018-05-14,2018,5,14,2,2,4,134.85
TMD00356,INN00356,2018-10-22,2018,10,22,1,1,2,168.25
TMD00357,INN00357,2018-02-28,2018,2,28,2,1,3,60
TMD00358,INN00358,2018-06-13,2018,6,13,1,3,4,76
TMD00359,INN00359,2017-08-10,2017,8,10,1,2,3,63.5
TMD00360,INN00360,2018-09-18,2018,9,18,2,0,2,95
TMD00361,INN00361,2018-09-03,2018,9,3,2,2,4,90.95
TMD00362,INN00362,2017-10-16,2017,10,16,0,2,2,98.4
TMD00363,INN00363,2018-09-22,2018,9,22,0,1,1,135.9
TMD00364,INN00364,2018-11-16,2018,11,16,0,2,2,130
TMD00365,INN00365,2017-11-19,2017,11,19,0,1,1,81.9
TMD00366,INN00366,2018-02-22,2018,2,22,1,4,5,78.85
TMD00367,INN00367,2018-06-26,2018,6,26,2,3,5,141.3
TMD00368,INN00368,2018-04-09,2018,4,9,1,1,2,70
TMD00369,INN00369,2018-08-13,2018,8,13,2,3,5,170.1
TMD00370,INN00370,2018-10-23,2018,10,23,2,0,2,115
TMD00371,INN00371,2017-12-29,2017,12,29,0,5,5,199
TMD00372,INN00372,2018-07-10,2018,7,10,2,2,4,82.45
TMD00373,INN00373,2018-10-20,2018,10,20,0,3,3,192.86
TMD00374,INN00374,2017-09-25,2017,9,25,2,2,4,185
TMD00375,INN00375,2018-12-10,2018,12,10,2,6,8,68.07
TMD00376,INN00376,2018-10-04,2018,10,4,0,3,3,118.8
TMD00377,INN00377,2018-10-27,2018,10,27,0,2,2,104.4
TMD00378,INN00378,2018-03-23,2018,3,23,0,1,1,65
TMD00379,INN00379,2018-03-03,2018,3,3,1,3,4,71.1
TMD00380,INN00380,2018-05-21,2018,5,21,2,1,3,95
TMD00381,INN00381,2018-09-13,2018,9,13,4,11,15,116.62
TMD00382,INN00382,2018-09-07,2018,9,7,0,4,4,136
TMD00383,INN00383,2018-12-02,2018,12,2,2,2,4,147.9
TMD00384,INN00384,2018-09-18,2018,9,18,2,0,2,123.7
TMD00385,INN00385,2018-06-19,2018,6,19,2,1,3,135.9
TMD00386,INN00386,2017-10-16,2017,10,16,0,2,2,109
TMD00387,INN00387,2018-03-20,2018,3,20,2,1,3,186
TMD00388,INN00388,2018-12-26,2018,12,26,1,3,4,115.6
TMD00389,INN00389,2018-05-14,2018,5,14,0,1,1,221
TMD00390,INN00390,2017-09-15,2017,9,15,0,3,3,65
TMD00391,INN00391,2018-02-19,2018,2,19,0,1,1,80
TMD00392,INN00392,2018-03-23,2018,3,23,1,4,5,73.83
TMD00393,INN00393,2018-10-18,2018,10,18,0,1,1,67
TMD00394,INN00394,2018-03-04,2018,3,4,0,2,2,80.3
TMD00395,INN00395,2018-04-30,2018,4,30,2,1,3,85
TMD00396,INN00396,2018-07-23,2018,7,23,2,3,5,152.1
TMD00397,INN00397,2017-09-09,2017,9,9,0,2,2,89.25
TMD00398,INN00398,2018-09-28,2018,9,28,0,4,4,110
TMD00399,INN00399,2018-05-13,2018,5,13,1,2,3,95
TMD00400,INN00400,2018-03-18,2018,3,18,0,1,1,79
TMD00401,INN00401,2018-08-12,2018,8,12,0,1,1,80
TMD00402,INN00402,2018-10-01,2018,10,1,2,2,4,102.85
TMD00403,INN00403,2018-09-09,2018,9,9,1,2,3,90
TMD00404,INN00404,2018-01-29,2018,1,29,1,2,3,62.37
TMD00405,INN00405,2018-04-08,2018,4,8,0,1,1,98
TMD00406,INN00406,2017-09-17,2017,9,17,0,3,3,117.67
TMD00407,INN00407,2018-06-18,2018,6,18,2,1,3,141
