ID,n_adults,n_children,marital_status,lead_time,market_segment,repeated_guest,previous_cancellations,previous_bookings_not_canceled,status
INN00386,2,0,Single,102,Offline,0,0,0,Not_Canceled
INN00387,3,0,Single,9,Online,0,0,0,Not_Canceled
INN09699,2,0,Single,265,Offline,1,1,0,Not_Canceled
INN00389,2,2,In relation,0,Online,0,0,0,Not_Canceled
INN00390,1,0,Single,11,Corporate,0,0,0,Not_Canceled
INN00391,1,0,Single,0,Corporate,0,0,0,Not_Canceled
INN00392,2,1,In relation,86,Offline,0,0,0,Not_Canceled
INN00393,1,0,Single,18,Corporate,0,0,0,Not_Canceled
INN00394,2,0,Single,58,Online,0,0,0,Not_Canceled
INN00395,2,0,Single,54,Offline,0,0,0,Not_Canceled
INN00396,2,1,In relation,25,Online,0,0,0,Not_Canceled
INN01874,2,0,Single,263,Offline,1,1,6,Not_Canceled
INN00398,1,0,Single,100,Offline,0,0,0,Not_Canceled
INN00399,2,0,Single,273,Online,0,0,0,Not_Canceled
INN00400,2,0,Single,29,Online,0,0,0,Not_Canceled
INN00401,2,0,Single,221,Online,0,0,0,Not_Canceled
INN00402,2,0,Single,213,Online,0,0,0,Not_Canceled
INN00403,2,0,Single,198,Online,0,0,0,Not_Canceled
INN00404,2,0,Single,81,Online,0,0,0,Not_Canceled
INN00405,2,0,Single,23,Online,0,0,0,Not_Canceled
INN00406,2,0,Single,26,Online,0,0,0,Not_Canceled
INN00407,2,0,Single,20,Online,0,0,0,Not_Canceled
INN00408,2,1,In relation,124,Online,0,0,0,Not_Canceled
INN00409,3,0,Single,85,Online,0,0,0,Canceled
INN00410,2,0,Single,167,Online,0,0,0,Not_Canceled
INN00411,2,0,Single,71,Online,0,0,0,Not_Canceled
INN00412,2,0,Single,48,Online,0,0,0,Not_Canceled
INN00413,1,0,Single,37,Online,0,0,0,Not_Canceled
INN00414,3,0,Single,76,Online,0,0,0,Not_Canceled
INN00415,1,0,Single,13,Offline,0,0,0,Not_Canceled
INN00416,1,0,Single,3,Complementary,0,0,0,Not_Canceled
INN00417,2,0,Single,75,Offline,0,0,0,Not_Canceled
INN00418,1,0,Single,5,Corporate,0,0,0,Canceled
INN00419,2,0,Single,386,Online,0,0,0,Not_Canceled
INN00420,2,0,Single,180,Offline,0,0,0,Not_Canceled
INN00421,2,0,Single,122,Online,0,0,0,Not_Canceled
INN00422,2,0,Single,224,Offline,0,0,0,Not_Canceled
INN00423,2,0,Single,24,Online,0,0,0,Not_Canceled
INN00424,1,0,Single,162,Online,0,0,0,Not_Canceled
INN00425,3,0,Single,25,Online,0,0,0,Not_Canceled
INN00426,1,0,Single,1,Online,0,0,0,Not_Canceled
INN00427,2,0,Single,236,Online,0,0,0,Not_Canceled
INN00428,2,0,Single,120,Online,0,0,0,Not_Canceled
INN00429,2,0,Single,12,Online,0,0,0,Canceled
INN03193,2,0,Single,263,Online,1,0,2,Not_Canceled
INN16701,2,0,Single,259,Offline,1,0,2,Not_Canceled
INN00432,2,0,Single,24,Complementary,0,0,0,Not_Canceled
INN00433,2,0,Single,22,Online,0,0,0,Not_Canceled
INN00434,2,0,Single,10,Online,0,0,0,Not_Canceled
INN00435,2,0,Single,15,Online,0,0,0,Not_Canceled
INN00436,2,0,Single,230,Online,0,0,0,Not_Canceled
INN00437,2,0,Single,54,Offline,0,0,0,Not_Canceled
INN00438,2,0,Single,45,Online,0,0,0,Not_Canceled
INN00439,3,0,Single,63,Online,0,0,0,Not_Canceled
INN00440,2,0,Single,166,Online,0,0,0,Not_Canceled
INN00441,2,0,Single,148,Online,0,0,0,Canceled
INN00442,2,0,Single,136,Online,0,0,0,Not_Canceled
INN00443,2,0,Single,37,Online,0,0,0,Not_Canceled
INN01227,2,0,Single,258,Online,1,0,1,Not_Canceled
